
 ┌───────────────────────────────────────────────────┐ 
 │                 ESTELAR.SU Store                  │ 
 │                   Fiber v2.52.6                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ............ 53  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID .............. 7324 │ 
 └───────────────────────────────────────────────────┘ 

2026-04-24 20:49:13 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:49:14 | 202 |      1.0166ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:49:14 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:49:47 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:49:47 | 202 |      1.1877ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:51:44 | 200 |       503.6µs | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:51:44 | 202 |      1.0216ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:52:09 | 202 |      2.0663ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:52:09 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:52:12 | 200 |    366.3767ms | 127.0.0.1 | GET | /api/v1/admin/session | -
2026-04-24 20:52:12 | 200 |    634.8169ms | 127.0.0.1 | GET | /api/v1/admin/dashboard | -
2026-04-24 20:52:13 | 200 |     78.1039ms | 127.0.0.1 | GET | /api/v1/admin/orders | -
2026-04-24 20:52:13 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:53:30 | 200 |       274.2µs | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:53:30 | 202 |       503.7µs | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:53:34 | 202 |      1.1011ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:53:34 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:53:37 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:53:37 | 202 |      1.1277ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:53:38 | 202 |      1.0151ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:53:38 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:19:22 | 200 |       503.8µs | 127.0.0.1 | GET | / | -
2026-04-24 22:19:23 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:19:23 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:19:23 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:19:23 | 202 |      1.0892ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:19:23 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:29:02 | 200 |       504.6µs | 127.0.0.1 | GET | /rules | -
2026-04-24 22:29:02 | 200 |            0s | 127.0.0.1 | GET | / | -
2026-04-24 22:29:03 | 202 |      2.0019ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:29:03 | 200 |      1.0027ms | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
